dataset,epochs,validation,learnrate,l2norm,hidden,bases,dropout,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
aifb,50,False,0.01,0.001,32,4,0.5,0.0035068989,1.0,0.0035068989,1.0,0.2775068,0.9166666666666666
aifb,50,False,0.01,0.001,32,4,0.8,0.0019328486,1.0,0.0019328486,1.0,0.16338347,0.9444444444444444
aifb,50,False,0.01,0.001,32,4,0.9,0.0056256177,1.0,0.0056256177,1.0,0.14584272,0.9722222222222222
aifb,50,False,0.01,0.001,32,8,0.2,0.002690385,1.0,0.002690385,1.0,0.22344477,0.9166666666666666
aifb,50,False,0.01,0.001,32,8,0.5,0.00307374,1.0,0.00307374,1.0,0.19266741,0.9444444444444444
aifb,50,False,0.01,0.001,32,8,0.8,0.0007082458,1.0,0.0007082458,1.0,0.21195903,0.9166666666666666
aifb,50,False,0.01,0.001,32,8,0.9,0.0014245664,1.0,0.0014245664,1.0,0.17810836,0.9444444444444444
aifb,50,False,0.01,0.001,32,16,0.2,0.0022229906,1.0,0.0022229906,1.0,0.2709768,0.8888888888888888
aifb,50,False,0.01,0.001,32,16,0.5,0.0014099745,1.0,0.0014099745,1.0,0.20254467,0.9166666666666666
aifb,50,False,0.01,0.001,32,16,0.8,0.00030248298,1.0,0.00030248298,1.0,0.1807381,0.9166666666666666
aifb,50,False,0.01,0.001,32,16,0.9,0.0007220964,1.0,0.0007220964,1.0,0.15713447,0.9722222222222222
aifb,50,False,0.01,0.001,32,32,0.2,0.0013099419,1.0,0.0013099419,1.0,0.26406804,0.8888888888888888
aifb,50,False,0.01,0.001,32,32,0.5,0.0007989387,1.0,0.0007989387,1.0,0.24067476,0.8888888888888888
aifb,50,False,0.01,0.001,32,32,0.8,0.00032223208,1.0,0.00032223208,1.0,0.17586643,0.9444444444444444
aifb,50,False,0.01,0.001,32,32,0.9,0.0006902426,1.0,0.0006902426,1.0,0.17694956,0.9722222222222222
aifb,50,False,0.01,0.001,64,4,0.2,0.0052408287,1.0,0.0052408287,1.0,0.2561693,0.8888888888888888
aifb,50,False,0.01,0.001,64,4,0.5,0.0042641377,1.0,0.0042641377,1.0,0.2172062,0.9444444444444444
aifb,50,False,0.01,0.001,64,4,0.8,0.0025856204,1.0,0.0025856204,1.0,0.20781751,0.9166666666666666
aifb,50,False,0.01,0.001,64,4,0.9,0.0020070986,1.0,0.0020070986,1.0,0.17406124,0.9166666666666666
aifb,50,False,0.01,0.001,64,8,0.2,0.0029992198,1.0,0.0029992198,1.0,0.21435523,0.9166666666666666
aifb,50,False,0.01,0.001,64,8,0.5,0.0020207297,1.0,0.0020207297,1.0,0.17650105,0.9444444444444444
