dataset,epochs,validation,learnrate,l2norm,hidden,bases,dropout,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
aifb,50,False,0.01,0.01,16,4,0.9,0.08043338,1.0,0.08043338,1.0,0.25645003,0.9444444444444444
aifb,50,False,0.01,0.01,16,8,0.2,0.016004464,1.0,0.016004464,1.0,0.2891011,0.8888888888888888
aifb,50,False,0.01,0.01,16,8,0.5,0.01725163,1.0,0.01725163,1.0,0.23404224,0.9166666666666666
aifb,50,False,0.01,0.01,16,8,0.8,0.02249704,1.0,0.02249704,1.0,0.19979532,0.9444444444444444
aifb,50,False,0.01,0.01,16,8,0.9,0.059385523,1.0,0.059385523,1.0,0.19986337,0.9444444444444444
aifb,50,False,0.01,0.01,16,16,0.2,0.010492509,1.0,0.010492509,1.0,0.2912959,0.8888888888888888
aifb,50,False,0.01,0.01,16,16,0.5,0.014842687,1.0,0.014842687,1.0,0.25227106,0.9444444444444444
aifb,50,False,0.01,0.01,16,16,0.8,0.017981604,1.0,0.017981604,1.0,0.20479608,0.9444444444444444
aifb,50,False,0.01,0.01,16,16,0.9,0.0573255,1.0,0.0573255,1.0,0.27593043,0.9166666666666666
aifb,50,False,0.01,0.01,16,32,0.2,0.011006621,1.0,0.011006621,1.0,0.25658673,0.9166666666666666
aifb,50,False,0.01,0.01,16,32,0.5,0.0063967532,1.0,0.0063967532,1.0,0.2548117,0.9166666666666666
aifb,50,False,0.01,0.01,16,32,0.8,0.010506843,1.0,0.010506843,1.0,0.25997174,0.9166666666666666
aifb,50,False,0.01,0.01,16,32,0.9,0.04782323,1.0,0.04782323,1.0,0.23478039,0.9444444444444444
aifb,50,False,0.01,0.01,32,4,0.2,0.02290986,1.0,0.02290986,1.0,0.2622307,0.8888888888888888
aifb,50,False,0.01,0.01,32,4,0.5,0.028497692,1.0,0.028497692,1.0,0.24607123,0.9166666666666666
aifb,50,False,0.01,0.01,32,4,0.8,0.036432184,1.0,0.036432184,1.0,0.26946738,0.8888888888888888
aifb,50,False,0.01,0.01,32,4,0.9,0.0487944,0.9928571428571429,0.0487944,0.9928571428571429,0.22144118,0.9166666666666666
aifb,50,False,0.01,0.01,32,8,0.2,0.011004758,1.0,0.011004758,1.0,0.25772828,0.9166666666666666
aifb,50,False,0.01,0.01,32,8,0.5,0.013384912,1.0,0.013384912,1.0,0.29943073,0.8888888888888888
aifb,50,False,0.01,0.01,32,8,0.8,0.016197717,1.0,0.016197717,1.0,0.23126088,0.9166666666666666
aifb,50,False,0.01,0.01,32,8,0.9,0.028598012,1.0,0.028598012,1.0,0.24415639,0.9166666666666666
aifb,50,False,0.01,0.01,32,16,0.2,0.011219382,1.0,0.011219382,1.0,0.29841697,0.8888888888888888
aifb,50,False,0.01,0.01,32,16,0.5,0.011575644,1.0,0.011575644,1.0,0.27725413,0.9166666666666666
aifb,50,False,0.01,0.01,32,16,0.8,0.016356904,1.0,0.016356904,1.0,0.23671076,0.9166666666666666
aifb,50,False,0.01,0.01,32,16,0.9,0.016871462,1.0,0.016871462,1.0,0.25138003,0.9166666666666666
aifb,50,False,0.01,0.01,32,32,0.2,0.0073666605,1.0,0.0073666605,1.0,0.28738233,0.8888888888888888
aifb,50,False,0.01,0.01,32,32,0.5,0.0062786215,1.0,0.0062786215,1.0,0.3174709,0.8888888888888888
aifb,50,False,0.01,0.01,32,32,0.8,0.005285228,1.0,0.005285228,1.0,0.2228133,0.9166666666666666
aifb,50,False,0.01,0.01,32,32,0.9,0.019821879,1.0,0.019821879,1.0,0.23999847,0.9444444444444444
aifb,50,False,0.01,0.01,64,4,0.2,0.012847027,1.0,0.012847027,1.0,0.20355321,0.9166666666666666
